"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 12:39:53 CET 2023","Thu Feb 16 12:39:53 CET 2023","522","","Test suite","","Test suite","Second test","Second test",""
"passed","Thu Feb 16 12:39:55 CET 2023","Thu Feb 16 12:39:56 CET 2023","252","","Test suite","","Test suite","WebDriverIO 3","WebDriverIO 3",""
"passed","Thu Feb 16 12:39:57 CET 2023","Thu Feb 16 12:39:58 CET 2023","1100","","Test suite","","Test suite","Fourth test","Fourth test",""
"passed","Thu Feb 16 12:39:58 CET 2023","Thu Feb 16 12:39:59 CET 2023","1288","","Test suite","","Test suite","Fifth test","Fifth test",""
"passed","Thu Feb 16 12:39:53 CET 2023","Thu Feb 16 12:39:54 CET 2023","1541","","Test suite","","Test suite","First test","First test",""
"passed","Thu Feb 16 12:40:52 CET 2023","Thu Feb 16 12:40:53 CET 2023","432","","Test suite","","Test suite","WebDriverIO 5","WebDriverIO 5",""
"passed","Thu Feb 16 12:39:59 CET 2023","Thu Feb 16 12:39:59 CET 2023","27","","Test suite","","Test suite","WebDriverIO 1","WebDriverIO 1",""
"passed","Thu Feb 16 12:39:59 CET 2023","Thu Feb 16 12:39:59 CET 2023","397","","Test suite","","Test suite","WebDriverIO 3","WebDriverIO 3",""
"passed","Thu Feb 16 12:39:51 CET 2023","Thu Feb 16 12:39:53 CET 2023","1901","","Test suite","","Test suite","First test","First test",""
"passed","Thu Feb 16 12:39:56 CET 2023","Thu Feb 16 12:40:49 CET 2023","53030","","Test suite","","Test suite","WebDriverIO 4","WebDriverIO 4",""
"passed","Thu Feb 16 12:39:55 CET 2023","Thu Feb 16 12:39:55 CET 2023","681","","Test suite","","Test suite","Fifth test","Fifth test",""
"passed","Thu Feb 16 12:39:59 CET 2023","Thu Feb 16 12:40:52 CET 2023","53031","","Test suite","","Test suite","WebDriverIO 4","WebDriverIO 4",""
"passed","Thu Feb 16 12:39:54 CET 2023","Thu Feb 16 12:39:55 CET 2023","1001","","Test suite","","Test suite","Second test","Second test",""
"passed","Thu Feb 16 12:39:59 CET 2023","Thu Feb 16 12:39:59 CET 2023","26","","Test suite","","Test suite","WebDriverIO 2","WebDriverIO 2",""
"passed","Thu Feb 16 12:39:53 CET 2023","Thu Feb 16 12:39:54 CET 2023","593","","Test suite","","Test suite","Third test","Third test",""
"passed","Thu Feb 16 12:39:55 CET 2023","Thu Feb 16 12:39:55 CET 2023","50","","Test suite","","Test suite","WebDriverIO 1","WebDriverIO 1",""
"passed","Thu Feb 16 12:39:55 CET 2023","Thu Feb 16 12:39:57 CET 2023","1127","","Test suite","","Test suite","Third test","Third test",""
"passed","Thu Feb 16 12:40:49 CET 2023","Thu Feb 16 12:40:49 CET 2023","222","","Test suite","","Test suite","WebDriverIO 5","WebDriverIO 5",""
"passed","Thu Feb 16 12:39:54 CET 2023","Thu Feb 16 12:39:55 CET 2023","608","","Test suite","","Test suite","Fourth test","Fourth test",""
"passed","Thu Feb 16 12:39:55 CET 2023","Thu Feb 16 12:39:55 CET 2023","67","","Test suite","","Test suite","WebDriverIO 2","WebDriverIO 2",""
